# Perfect Packing - 10 boxes with 100% volume and weight utilization
# Format: width;height;depth;weight;type
# type: 0 = box, 1 = item

# Box 1: 400x300x200, weight 24000g (volume: 24,000,000 mm³)
400;300;200;24000;0
# Items for Box 1 - 8 items, different sizes
200;150;100;3000;1
200;150;100;3000;1
200;150;100;3000;1
200;150;100;3000;1
200;150;100;3000;1
200;150;100;3000;1
200;150;100;3000;1
200;150;100;3000;1

# Box 2: 500x400x300, weight 30000g (volume: 60,000,000 mm³)
500;400;300;30000;0
# Items for Box 2 - 8 items, different sizes
250;200;150;3750;1
250;200;150;3750;1
250;200;150;3750;1
250;200;150;3750;1
250;200;150;3750;1
250;200;150;3750;1
250;200;150;3750;1
250;200;150;3750;1

# Box 3: 600x500x400, weight 40000g (volume: 120,000,000 mm³)
600;500;400;40000;0
# Items for Box 3 - 8 items, different sizes
300;250;200;5000;1
300;250;200;5000;1
300;250;200;5000;1
300;250;200;5000;1
300;250;200;5000;1
300;250;200;5000;1
300;250;200;5000;1
300;250;200;5000;1

# Box 4: 800x600x500, weight 50000g (volume: 240,000,000 mm³)
800;600;500;50000;0
# Items for Box 4 - 8 items, different sizes
400;300;250;6250;1
400;300;250;6250;1
400;300;250;6250;1
400;300;250;6250;1
400;300;250;6250;1
400;300;250;6250;1
400;300;250;6250;1
400;300;250;6250;1

# Box 5: 1000x800x600, weight 60000g (volume: 480,000,000 mm³)
1000;800;600;60000;0
# Items for Box 5 - 8 items, different sizes
500;400;300;7500;1
500;400;300;7500;1
500;400;300;7500;1
500;400;300;7500;1
500;400;300;7500;1
500;400;300;7500;1
500;400;300;7500;1
500;400;300;7500;1

# Box 6: 1200x1000x800, weight 80000g (volume: 960,000,000 mm³)
1200;1000;800;80000;0
# Items for Box 6 - 8 items, different sizes
600;500;400;10000;1
600;500;400;10000;1
600;500;400;10000;1
600;500;400;10000;1
600;500;400;10000;1
600;500;400;10000;1
600;500;400;10000;1
600;500;400;10000;1

# Box 7: 1500x1200x1000, weight 100000g (volume: 1,800,000,000 mm³)
1500;1200;1000;100000;0
# Items for Box 7 - 8 items, different sizes
750;600;500;12500;1
750;600;500;12500;1
750;600;500;12500;1
750;600;500;12500;1
750;600;500;12500;1
750;600;500;12500;1
750;600;500;12500;1
750;600;500;12500;1

# Box 8: 2000x1500x1200, weight 150000g (volume: 3,600,000,000 mm³)
2000;1500;1200;150000;0
# Items for Box 8 - 8 items, different sizes
1000;750;600;18750;1
1000;750;600;18750;1
1000;750;600;18750;1
1000;750;600;18750;1
1000;750;600;18750;1
1000;750;600;18750;1
1000;750;600;18750;1
1000;750;600;18750;1

# Box 9: 2500x2000x1500, weight 200000g (volume: 7,500,000,000 mm³)
2500;2000;1500;200000;0
# Items for Box 9 - 8 items, different sizes
1250;1000;750;25000;1
1250;1000;750;25000;1
1250;1000;750;25000;1
1250;1000;750;25000;1
1250;1000;750;25000;1
1250;1000;750;25000;1
1250;1000;750;25000;1
1250;1000;750;25000;1

# Box 10: 3000x2500x2000, weight 300000g (volume: 15,000,000,000 mm³)
3000;2500;2000;300000;0
# Items for Box 10 - 8 items, different sizes
1500;1250;1000;37500;1
1500;1250;1000;37500;1
1500;1250;1000;37500;1
1500;1250;1000;37500;1
1500;1250;1000;37500;1
1500;1250;1000;37500;1
1500;1250;1000;37500;1
1500;1250;1000;37500;1

# Total: 80 items across 10 boxes
